Introduction	引言
Marginal effects can (in principle) be calculated but these are complicated functions of the coefficients	边际效应（原则上）可以计算，但这些是系数的复杂函数
To illustrate, we estimate a nested logit model of transportation choice using the Koppelman dataset	为了说明这一点，我们使用 Koppelman 数据集估计了交通选择的嵌套 Logit 模型
Nested logit modeling is limited by the necessity of selecting the groupings	嵌套 Logit 建模受到选择分组的必要性的限制
Typically there is not a unique obvious structure; consequently any proposed grouping is subject to misspecification	通常没有独特的明显结构；因此，任何拟议的分组都可能出现误设
In this section we described the nested logit model with one nested layer	在本节中，我们描述了具有一个嵌套层的嵌套 logit 模型
The levels used in her analysis were (1) Buy/Not Buy; (2) New/Used; (3) Car Class; (4) Foreign/Domestic; and (5) Car Model	她的分析中使用的水平是（1）买入/不买入； (2) 新的/二手的； (3)轿车类； (4) 国外/国内； (5) 车型
In Stata, nested logit models can be estimated by nlogit	在Stata中，嵌套logit模型可以通过nlogit来估计
Mixed Logit	混合逻辑
The model is also known as conditional mixed logit and random parameters logit	该模型也称为条件混合 Logit 和随机参数 Logit
The above model allows the effect of cost and time on utility to be heterogeneous across individuals	上述模型允许成本和时间对效用的影响在个体之间是异质的
The reason why these constraints may be desirable is parsimony and simpler computation	这些约束可能是理想的原因是简约和更简单的计算
A useful feature of the mixed logit model is that the random coefficients induce correlation among the alternatives	混合 Logit 模型的一个有用特征是随机系数引起备选方案之间的相关性
The unconditional response probabilities are found by integration	通过积分可以找到无条件响应概率
The integral in (26.14) is not available in closed form	(26.14) 中的积分不能以封闭形式获得
To illustrate, we estimate a mixed logit model for the transportation application treating the coefficient on travel time as a normal random variable	为了说明这一点，我们估计了交通应用的混合 Logit 模型，将旅行时间系数视为正态随机变量
An interpretation of this random coefficient is that travelers have heterogeneous costs associated with travel time	该随机系数的解释是旅行者具有与旅行时间相关的异质成本
In Stata, mixed logit can be estimated by cmmixlogit	在Stata中，混合logit可以通过cmmixlogit来估计
Simple Multinomial Probit	简单多项式概率
The simple multinomial probit and simple conditional multinomial probit models combine the latent utility model	简单多项式概率和简单条件多项式概率模型结合了潜在效用模型
Identification is identical to multinomial logit	辨识与多项 Logit 相同
However, it can be expressed as a one-dimensional integral, as we now show	然而，正如我们现在所展示的，它可以表示为一维积分
Theorem 26.3 In the simple multinomial probit and simple conditional multinomial probit models the response probabilities equal	定理26.3 在简单多项式概率和简单条件多项式概率模型中，响应概率相等
The proof is presented in Section 26.13	证明在第 26.13 节中给出
This integral (26.18) is straightforward to numerically evaluate by quadrature methods	该积分 (26.18) 可以直接通过求积方法进行数值计算
To illustrate, we estimate a simple conditional multinomial probit model for transportation choice using the same specification as before	为了说明这一点，我们使用与之前相同的设定来估计一个用于交通选择的简单条件多项概率模型
We see that the estimated AME are very close to those of the conditional logit model	我们看到估计的 AME 与条件 Logit 模型的 AME 非常接近
In Stata, simple multivariate probit can be estimated by mprobit	在 Stata 中，简单的多元概率可以通过 mprobit 来估计
The latter uses the method of simulated maximum likelihood (discussed in the next section) even though numerical calculation could be implemented efficiently using the one-dimensional integral (26.18)	后者使用模拟极大似然法（在下一节中讨论），尽管数值计算可以使用一维积分（26.18）有效地实现
General Multinomial Probit	一般多项式概率
Identification of the coefficients is the same as multinomial logit	系数的识别与多项式 Logit 相同
This flexibility allows general multinomial probit to escape the IIA restrictions	这种灵活性允许一般多项式概率逃脱 IIA 约束
Consequently it may be prudent to use simpler methods such as conditional and nested logit for exploratory analysis and multinomial probit for final-stage estimation	因此，谨慎使用更简单的方法（例如用于探索性分析的条件和嵌套 Logit 以及用于最终阶段估计的多项概率）可能是明智的
